Turbo Boost до:,currency,page,price,source,source_currency,source_scraper,title,url,Гаранционен срок:,Кеш памет:,Логически ядра:,Работна честота:,Сокет:,Физически ядра:
4.40 GHz,BGN,1,281.64,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12400F (2.5GHz) - BX8071512400FSRL4W,https://www.ardes.bg/product/intel-core-i5-10400-2-9ghz-bx8070110400srh3c-174348,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6
4.40 GHz,BGN,1,281.64,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12400F (2.5GHz) - BX8071512400FSRL4W,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-bx8071514400-380861,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6
4.40 GHz,BGN,1,281.64,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12400F (2.5GHz) - BX8071512400FSRL4W,https://www.ardes.bg/product/intel-core-i5-12400f-2-5ghz-bx8071512400fsrl4w-242514,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6
5.30 GHz,BGN,1,596.53,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14600K (3.5GHz) - BX8071514600K,https://www.ardes.bg/product/intel-core-i5-12500-3-0ghz-bx8071512500srl5v-242511,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14
4.60 GHz,BGN,1,487.0,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12500 (3.0GHz) - BX8071512500SRL5V,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-bx8071513500-307230,,,,3.00 GHz,LGA1700,6
5.30 GHz,BGN,1,596.53,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14600K (3.5GHz) - BX8071514600K,https://www.ardes.bg/product/intel-core-i5-14600k-3-5ghz-bx8071514600k-361380,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14
4.90 GHz,BGN,1,402.9,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) - BX8071512600KF,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-bx8071512600kf-237821,36 месеца гаранция,L3: 20 MB,16,3.60 GHz,LGA1700,10
4.90 GHz,BGN,1,473.31,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600K (3.7GHz) - BX8071512600K,https://www.ardes.bg/product/intel-core-i5-12600k-3-7ghz-bx8071512600k-234257,36 месеца гаранция,L3: 20 MB,16,3.70 GHz,LGA1700,10
4.70 GHz,BGN,1,398.99,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) - BX8071514400F,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-bx8071513400f-307195,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.70 GHz,BGN,1,398.99,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) - BX8071514400F,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-bx8071514400f-380862,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.80 GHz,BGN,1,620.0,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13500 (1.8GHz) TRAY - CM8071505093101,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-tray-cm8071505093101-475901,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,1.80 GHz,LGA1700,14
4.90 GHz,BGN,1,348.14,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) TRAY - CM8071504555228,https://www.ardes.bg/product/intel-core-i5-14600kf-3-5ghz-tray-cm8071504821014-462230,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,3.60 GHz,LGA1700,10
4.90 GHz,BGN,1,348.14,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) TRAY - CM8071504555228,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,3.60 GHz,LGA1700,10
5.10 GHz,BGN,1,731.48,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i7-13700 (1.5GHz) - BX8071513700,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-tray-cm8071505093004-513723,60 месеца гаранция,L3: 30 MB,24,1.50 GHz,LGA1700,16
