Turbo Boost до:,currency,original_currency,original_price,page,price,source,source_currency,source_scraper,title,url,Гаранционен срок:,Кеш памет:,Логически ядра:,Работна честота:,Сокет:,Физически ядра:
4.60 GHz,BGN,BGN,592.62,1,лв592.62,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13400 (1.8GHz) - BX8071513400,https://www.ardes.bg/product/intel-core-i5-10400-2-9ghz-bx8070110400srh3c-174348,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,1.80 GHz,LGA1700,10
4.60 GHz,BGN,BGN,592.62,1,лв592.62,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13400 (1.8GHz) - BX8071513400,https://www.ardes.bg/product/intel-core-i5-12400f-2-5ghz-bx8071512400fsrl4w-242514,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,1.80 GHz,LGA1700,10
4.60 GHz,BGN,BGN,592.62,1,лв592.62,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13400 (1.8GHz) - BX8071513400,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-bx8071513400-307193,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,1.80 GHz,LGA1700,10
5.30 GHz,BGN,BGN,596.53,1,лв596.53,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14600K (3.5GHz) - BX8071514600K,https://www.ardes.bg/product/intel-core-i5-12500-3-0ghz-bx8071512500srl5v-242511,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14
5.10 GHz,BGN,BGN,459.62,1,лв459.62,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13600KF (3.5GHz) TRAY - CM8071504821006,https://www.ardes.bg/product/intel-core-i5-13600kf-3-5ghz-tray-cm8071504821006-449919,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14
5.10 GHz,BGN,BGN,459.62,1,лв459.62,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13600KF (3.5GHz) TRAY - CM8071504821006,https://www.ardes.bg/product/intel-core-i5-14600k-3-5ghz-bx8071514600k-361380,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14
4.40 GHz,BGN,BGN,459.62,1,лв459.62,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12400 (2.5GHz) - BX8071512400SRL5Y,https://www.ardes.bg/product/intel-core-i5-12400-2-5ghz-bx8071512400srl5y-242513,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6
4.40 GHz,BGN,BGN,459.62,1,лв459.62,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12400 (2.5GHz) - BX8071512400SRL5Y,https://www.ardes.bg/product/intel-core-i5-13400f-1-8ghz-bx8071513400f-307195,36 месеца гаранция,L2: 7.5 MB L3: 18 MB,12,2.50 GHz,LGA1700,6
4.70 GHz,BGN,BGN,398.99,1,лв398.99,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) - BX8071514400F,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-bx8071514400f-380862,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.90 GHz,BGN,BGN,473.31,1,лв473.31,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600K (3.7GHz) - BX8071512600K,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-tray-cm8071505093011-513737,36 месеца гаранция,L3: 20 MB,16,3.70 GHz,LGA1700,10
4.90 GHz,BGN,BGN,473.31,1,лв473.31,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600K (3.7GHz) - BX8071512600K,https://www.ardes.bg/product/intel-core-i5-12600k-3-7ghz-bx8071512600k-234257,36 месеца гаранция,L3: 20 MB,16,3.70 GHz,LGA1700,10
4.90 GHz,BGN,BGN,348.14,1,лв348.14,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-12600KF (3.6GHz) TRAY - CM8071504555228,https://www.ardes.bg/product/intel-core-i5-14400-2-5ghz-tray-cm8071504821112-501437,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,3.60 GHz,LGA1700,10
4.70 GHz,BGN,BGN,625.87,1,лв625.87,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400 (2.5GHz) TRAY - CM8071504821112,https://www.ardes.bg/product/intel-core-i5-14600kf-3-5ghz-tray-cm8071504821014-462230,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
4.60 GHz,BGN,BGN,647.38,1,лв647.38,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-13400 (1.8GHz) TRAY - CM8071505093004,https://www.ardes.bg/product/intel-core-i5-12600kf-3-6ghz-tray-cm8071504555228-237820,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,1.80 GHz,LGA1700,10
5.00 GHz,BGN,BGN,690.41,1,лв690.41,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-13400-1-8ghz-tray-cm8071505093004-513723,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,2.60 GHz,LGA1700,14
5.00 GHz,BGN,BGN,690.41,1,лв690.41,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14500 (2.6GHz) TRAY - CM8071505093104,https://www.ardes.bg/product/intel-core-i5-14500-2-6ghz-tray-cm8071505093104-510302,36 месеца гаранция,L2: 11.5 MB L3: 24 MB,20,2.60 GHz,LGA1700,14
4.70 GHz,BGN,BGN,367.7,1,лв367.70,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) TRAY - CM8071504821113,https://www.ardes.bg/product/intel-core-i5-14400f-2-5ghz-tray-cm8071504821113-461738,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
5.70 GHz,BGN,BGN,1230.22,1,лв1230.22,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core Ultra 9 285K (3.20GHz) - BX80768285K,https://www.ardes.bg/product/intel-core-i7-13700-1-5ghz-bx8071513700-307196,36 месеца гаранция,L2: 40 MB L3: 36 MB,24,3.20 GHz,LGA1851,24
4.70 GHz,BGN,BGN,367.7,1,лв367.70,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14400F (2.5GHz) TRAY - CM8071504821113,https://www.ardes.bg/product/intel-core-ultra-9-285k-3-20ghz-bx80768285k-443533,36 месеца гаранция,L2: 9.5 MB L3: 20 MB,16,2.50 GHz,LGA1700,10
5.30 GHz,BGN,BGN,596.53,1,лв596.53,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-14600K (3.5GHz) - BX8071514600K,https://www.ardes.bg/product/intel-core-i5-13500-1-8ghz-bx8071513500-307230,60 месеца гаранция,L2: 20 MB L3: 24 MB,20,3.50 GHz,LGA1700,14
4.40 GHz,BGN,BGN,352.05,1,лв352.05,Ardes.bg,BGN,ArdesScraper,Процесор Intel Core i5-11400 (2.6GHz) - BX8070811400SRKP0,https://www.ardes.bg/product/intel-core-i5-11400-2-6ghz-bx8070811400srkp0-205378,36 месеца гаранция,L3: 12 MB,12,2.60 GHz,LGA1200,6
